鮊 ba4  禞 gao4  了 le/liao3/liao4  阙 que1/que4  譃 xu1  
罷 ba4  祰 gao4  叻 le4  瘸 que2  虗 xu1  
鮁 ba4  哥 ge1  泐 le4  却 que4  魖 xu1  
覇 ba4  割 ge1  仂 le4  确 que4  鬚 xu1  
跁 ba4  戈 ge1  鳓 le4  鹊 que4  蕦 xu1  
罢 ba4/ba  搁 ge1  簕 le4  榷 que4  頊 xu1  
耙 ba4/pa2  胳 ge1  韷 le4  阕 que4  吁 xu1/yu4  
掰 bai1  鸽 ge1  勒 le4/lei1  確 que4  徐 xu2  
白 bai2  疙 ge1  乐 le4/yue4  悫 que4  许 xu3  
百 bai3  圪 ge1  嘞 lei  鵲 que4  栩 xu3  
摆 bai3  袼 ge1  雷 lei2  闕 que4  诩 xu3  
佰 bai3  閤 ge1  镭 lei2  逡 qun1  許 xu3  
襬 bai3  鴿 ge1  羸 lei2  踆 qun1  糈 xu3  
捭 bai3/bai4  鴐 ge1  嫘 lei2  群 qun2  鄦 xu3  
柏 bai3/bo4  紇 ge1  缧 lei2  裙 qun2  醑 xu3  
败 bai4  歌 ge1/ge1ge  蔂 lei2  然 ran2  訏 xu3  
拜 bai4  纥 ge1/he2  檑 lei2  燃 ran2  盨 xu3  
稗 bai4  咯 ge1/lo/luo4  磥 lei2  髯 ran2  续 xu4  
粺 bai4  格 ge2  罍 lei2  蚺 ran2  序 xu4  
贁 bai4  革 ge2  鐳 lei2  髥 ran2  绪 xu4  
薭 bai4  隔 ge2  鑘 lei2  袇 ran2  叙 xu4  
呗 bai4/bei  阁 ge2  累 lei2/lei3/lei4  肰 ran2  蓄 xu4  
般 ban1  骼 ge2  擂 lei2/lei4  染 ran3  旭 xu4  
班 ban1  嗝 ge2  垒 lei3  冉 ran3  婿 xu4  
搬 ban1  镉 ge2  蕾 lei3  苒 ran3  絮 xu4  
斑 ban1  搿 ge2  磊 lei3  瓤 rang2  恤 xu4  
颁 ban1  騔 ge2  儡 lei3  穰 rang2  煦 xu4  
瘢 ban1  膈 ge2  诔 lei3  禳 rang2  酗 xu4  
癍 ban1  鬲 ge2  耒 lei3  嚷 rang3  勖 xu4  
籓 ban1  閣 ge2  礌 lei3  壤 rang3  溆 xu4  
螁 ban1  詥 ge2  絫 lei3  攘 rang3  續 xu4  
頒 ban1  轕 ge2  蕌 lei3  让 rang4  藚 xu4  
扳 ban1/pan1  裓 ge2  礨 lei3  讓 rang4  洫 xu4  
